"codigo","descricao","setor","termos_busca","observacao"
"DPA00.01","CHARUTO PATAS 8.4 B","","DPA00.01 CHARUTO PATAS 8.4 B",""
"DEP-1.1","DEP.1.1 A4 6.6","","DEP-1.1 DEP.1.1 A4 6.6",""
"DEP-1.2","DEP.1-2 A4 6.7","","DEP-1.2 DEP.1-2 A4 6.7",""
"DEP-1.3","DEP.1.3 A4 6.5","","DEP-1.3 DEP.1.3 A4 6.5",""
"DEP-1.4","DEP.1.4 A4 6.8","","DEP-1.4 DEP.1.4 A4 6.8",""
"DEP-1.5","DEP.1.5 A4 6.10","","DEP-1.5 DEP.1.5 A4 6.10",""
"DEP-1.6","DEP.1.6 A4 XIII","","DEP-1.6 DEP.1.6 A4 XIII",""
"DEP-1.7","DEP.1.7 A4 6.9","","DEP-1.7 DEP.1.7 A4 6.9",""
"DEP-1.8","DEP.1.8 A4 XIV","","DEP-1.8 DEP.1.8 A4 XIV",""
"DEP-2.11","DEP.2.11 A4 XVII","","DEP-2.11 DEP.2.11 A4 XVII",""
"DEP-2.12","DEP.2.12 A4 XVIII","","DEP-2.12 DEP.2.12 A4 XVIII",""
"DEP-2.13","DEP.2.13 A4 XV","","DEP-2.13 DEP.2.13 A4 XV",""
"DEP-2.14","DEP.2.14 A4 XVI","","DEP-2.14 DEP.2.14 A4 XVI",""
"DEP-2.15","DEP.2.15 A4 XX","","DEP-2.15 DEP.2.15 A4 XX",""
"DEP-2.16","DEP.2.16 A4 XXI","","DEP-2.16 DEP.2.16 A4 XXI",""
"DEP-2.17","DEP.2.17 A4 XIX","","DEP-2.17 DEP.2.17 A4 XIX",""
"DEP-2.18","DEP.2.18 A4 XXI","","DEP-2.18 DEP.2.18 A4 XXI",""
"DEP-3.21","DEP.3.21 A4 XXIII","","DEP-3.21 DEP.3.21 A4 XXIII",""
"DEP-3.22","DEP.3.22 A4 XXV","","DEP-3.22 DEP.3.22 A4 XXV",""
