"codigo","descricao","setor","observacao","termos_busca"
"03.06","VENTILADOR SIF DEPENAGEM","PORTA A4","","03.06 VENTILADOR SIF DEPENAGEM PORTA A4"
"EST 01.01","","PORTA A5","","EST 01.01 PORTA A5"
"EST 02.01A","","PORTA A5","","EST 02.01A PORTA A5"
"EST 02.01B","","PORTA A5","","EST 02.01B PORTA A5"
"EST 02.04","NOVA LONA PENDURA","PORTA A5","","EST 02.04 NOVA LONA PENDURA PORTA A5"
"EST 02.02","","PORTA A5","","EST 02.02 PORTA A5"
"EST 03.02","","PORTA A5","","EST 03.02 PORTA A5"
"EST 03.04","","PORTA A5","","EST 03.04 PORTA A5"
"EST 07.02","","PORTA A5","","EST 07.02 PORTA A5"
"DPT","LIMPA LINHA - INV 07.03","PORTA A5","","DPT LIMPA LINHA - INV 07.03 PORTA A5"
"EST 07.04","","PORTA A5","","EST 07.04 PORTA A5"
"EST 07.05","","PORTA A5","","EST 07.05 PORTA A5"
"EST 08.02","","PORTA A5","","EST 08.02 PORTA A5"
"EST 09.05A","","PORTA A5","","EST 09.05A PORTA A5"
"EST 09.05B","","PORTA A5","","EST 09.05B PORTA A5"
"9.1","CHILLER CONDICIONAIS","PORTA A5","","9.1 CHILLER CONDICIONAIS PORTA A5"
"9.2","NOREA DIF","PORTA A5","","9.2 NOREA DIF PORTA A5"
"9.3","NOREA PCC","PORTA A5","","9.3 NOREA PCC PORTA A5"
"25.1","NICHO 25.1","PORTA A5","","25.1 NICHO 25.1 PORTA A5"
"25.2","NICHO 25.2","PORTA A5","","25.2 NICHO 25.2 PORTA A5"
"25.3","NICHO 25.3","PORTA A5","","25.3 NICHO 25.3 PORTA A5"
"25.4","NICHO 25.4","PORTA A5","","25.4 NICHO 25.4 PORTA A5"
"25.5","NICHO 25.5","PORTA A5","","25.5 NICHO 25.5 PORTA A5"
"06.33","LAVADORA DE GANCHO DEP.","PORTA A5","","06.33 LAVADORA DE GANCHO DEP. PORTA A5"
"5.3A","NOREA PENDURA","PORTA A6","","5.3A NOREA PENDURA PORTA A6"
"5.3B","NOREA PENDURA","PORTA A6","","5.3B NOREA PENDURA PORTA A6"
"6.3A","NOREA EVISCERACAO","PORTA A6","","6.3A NOREA EVISCERACAO PORTA A6"
"6.3B","NOREA EVISCERACAO","PORTA A6","","6.3B NOREA EVISCERACAO PORTA A6"
"6.3","NOREA PINCA","PORTA A6","","6.3 NOREA PINCA PORTA A6"
"10-7","","PORTA A7","","10-7 PORTA A7"
"10-8","","PORTA A7","","10-8 PORTA A7"
"10-12","EXAUSTOR PRE CHILLER","PORTA A7","","10-12 EXAUSTOR PRE CHILLER PORTA A7"
"10-20","","PORTA A7","","10-20 PORTA A7"
"10-21","","PORTA A7","","10-21 PORTA A7"
"10-22","ACIONA VENTILADOR DA SALA DE MIUDOS","PORTA A7","","10-22 ACIONA VENTILADOR DA SALA DE MIUDOS PORTA A7"
"10-23","","PORTA A7","","10-23 PORTA A7"
"10-24","","PORTA A7","","10-24 PORTA A7"
"10-25","","PORTA A7","","10-25 PORTA A7"
"11-2","","PORTA A7","","11-2 PORTA A7"
"11-3","","PORTA A7","","11-3 PORTA A7"
"14-1","","PORTA A7","","14-1 PORTA A7"
"14-2","","PORTA A7","","14-2 PORTA A7"
"14-3","","PORTA A7","","14-3 PORTA A7"
"14-4","","PORTA A7","","14-4 PORTA A7"
"14-5","FOI INSTALADO INVERSOR PORTA 6","PORTA A7","","14-5 FOI INSTALADO INVERSOR PORTA 6 PORTA A7"
"14-7","","PORTA A7","","14-7 PORTA A7"
"14-8","","PORTA A7","","14-8 PORTA A7"
"14-9","","PORTA A7","","14-9 PORTA A7"
"15-1","INSUFLADOR LAVAGEM CAIXA BRANCA","PORTA A7","","15-1 INSUFLADOR LAVAGEM CAIXA BRANCA PORTA A7"
"15-2","EXAUSTOR LAVAGEM CAIXA BRANCA","PORTA A7","","15-2 EXAUSTOR LAVAGEM CAIXA BRANCA PORTA A7"
"15-3","","PORTA A7","","15-3 PORTA A7"
"15-4","","PORTA A7","","15-4 PORTA A7"
"15-5","","PORTA A7","","15-5 PORTA A7"
"15-6","","PORTA A7","","15-6 PORTA A7"
"15-7","CORTINA DE AR AREA DE DESCANSO","PORTA A7","","15-7 CORTINA DE AR AREA DE DESCANSO PORTA A7"
"15-8","CORTINA DE AR SALA DE CORTES","PORTA A7","","15-8 CORTINA DE AR SALA DE CORTES PORTA A7"
"15-9","ESTEIRA EMBALAGEM PADRAO","PORTA A7","","15-9 ESTEIRA EMBALAGEM PADRAO PORTA A7"
"16-1","VENTILADOR RESFRIAMENTO LIGA DOIS","PORTA A7","","16-1 VENTILADOR RESFRIAMENTO LIGA DOIS PORTA A7"
"16-2","EXPEDICAO","PORTA A7","","16-2 EXPEDICAO PORTA A7"
"16-3","","PORTA A7","","16-3 PORTA A7"
"16-4","","PORTA A7","","16-4 PORTA A7"
"17-12","","PORTA A7","","17-12 PORTA A7"
"17-13","","PORTA A7","","17-13 PORTA A7"
"17-14","","PORTA A7","","17-14 PORTA A7"
"17-15","","PORTA A7","","17-15 PORTA A7"
"18-16","","PORTA A7","","18-16 PORTA A7"
"17-17","","PORTA A7","","17-17 PORTA A7"
"17-18","","PORTA A7","","17-18 PORTA A7"
"17-19","","PORTA A7","","17-19 PORTA A7"
"10.1","CH. FIGADO","PORTA A9","","10.1 CH. FIGADO PORTA A9"
"10.2","CH. MOELA","PORTA A9","","10.2 CH. MOELA PORTA A9"
"10.3","CH. CABECA","PORTA A9","","10.3 CH. CABECA PORTA A9"
"10.4","CH. CORACAO","PORTA A9","","10.4 CH. CORACAO PORTA A9"
"10.5","CH. PE A","PORTA A9","","10.5 CH. PE A PORTA A9"
"10.6","CH. PE B","PORTA A9","","10.6 CH. PE B PORTA A9"
"EST 10.14","","PORTA A9","","EST 10.14 PORTA A9"
"EST 10.10","","PORTA A9","","EST 10.10 PORTA A9"
"EST 10.13","","PORTA A9","","EST 10.13 PORTA A9"
"EST 10.15","","PORTA A9","","EST 10.15 PORTA A9"
"EST 06.41","","PORTA A9","","EST 06.41 PORTA A9"
"EST 17.05","","PORTA A9","","EST 17.05 PORTA A9"
"EST 17.01","","PORTA A9","","EST 17.01 PORTA A9"
"EST 09.22","","PORTA A9","","EST 09.22 PORTA A9"
"9.6","SATELITE CHILLER 02","PORTA A9","","9.6 SATELITE CHILLER 02 PORTA A9"
"9.24","SATELITE CHILLER 01","PORTA A9","","9.24 SATELITE CHILLER 01 PORTA A9"
"9.23","CHILLER 01","PORTA A9","","9.23 CHILLER 01 PORTA A9"
"ESC-00.02","ESCALDADOR PATAS","PORTA A9","","ESC-00.02 ESCALDADOR PATAS PORTA A9"
"EST 17.06","","PORTA A10","","EST 17.06 PORTA A10"
"EST 17.07","","PORTA A10","","EST 17.07 PORTA A10"
"EST 17.08","","PORTA A10","","EST 17.08 PORTA A10"
"EST 10.18","","PORTA A10","CODIGO DUPLICADO","EST 10.18 PORTA A10 CODIGO DUPLICADO"
"EST 10.18","NOREA PAPELAO","PORTA A10","CODIGO DUPLICADO","EST 10.18 NOREA PAPELAO PORTA A10 CODIGO DUPLICADO"
"EST 17.20","","PORTA A10","","EST 17.20 PORTA A10"
"09.25","CHILLER 02","PORTA A10","","09.25 CHILLER 02 PORTA A10"
"09.93","PRE CHILLER","PORTA A10","","09.93 PRE CHILLER PORTA A10"
"09.94","SATELITE PRE CHILLER","PORTA A10","","09.94 SATELITE PRE CHILLER PORTA A10"
"17.21","LAVADORA CARCACA","PORTA A10","BOM-00.54","17.21 LAVADORA CARCACA PORTA A10 BOM-00.54"
"EST-06.49","DEPENAGEM","A10","","EST-06.49 DEPENAGEM A10"
"EST 10.57","","PORTA A11","","EST 10.57 PORTA A11"
"EST 12.03","","PORTA A11","","EST 12.03 PORTA A11"
"EST 12.05","","PORTA A11","","EST 12.05 PORTA A11"
"EST 12.07","SEM TAG INVERSOR","PORTA A11","","EST 12.07 SEM TAG INVERSOR PORTA A11"
"EST 10.56","12.08 SEM TAG INVERSOR","PORTA A11","","EST 10.56 12.08 SEM TAG INVERSOR PORTA A11"
"EST 12.09","","PORTA A11","","EST 12.09 PORTA A11"
"EST 12.10","","PORTA A11","","EST 12.10 PORTA A11"
"EST 12.11","","PORTA A11","","EST 12.11 PORTA A11"
"EST 12.14","","PORTA A11","","EST 12.14 PORTA A11"
"EST 12.15","","PORTA A11","","EST 12.15 PORTA A11"
"EST 12.27","","PORTA A11","","EST 12.27 PORTA A11"
"EST 12.28","","PORTA A11","","EST 12.28 PORTA A11"
"EST 12.29","","PORTA A11","","EST 12.29 PORTA A11"
"EST 12.19","","PORTA A11","","EST 12.19 PORTA A11"
"EST 06.45","","PORTA A11","","EST 06.45 PORTA A11"
"EST 12.31","","PORTA A12","","EST 12.31 PORTA A12"
"EST 12.32","SEM TAG INVERSOR","PORTA A12","","EST 12.32 SEM TAG INVERSOR PORTA A12"
"EST 12.33","","PORTA A12","","EST 12.33 PORTA A12"
"EST 12.34","","PORTA A12","","EST 12.34 PORTA A12"
"EST 12.41","SEM TAG INVERSOR","PORTA A12","","EST 12.41 SEM TAG INVERSOR PORTA A12"
"EST 12.42","","PORTA A12","","EST 12.42 PORTA A12"
"EST 10.58","DESCARTE DE OSSOS 03","PORTA A12","","EST 10.58 DESCARTE DE OSSOS 03 PORTA A12"
"EST 12.48","","PORTA A12","","EST 12.48 PORTA A12"
"EST 12.49","","PORTA A12","","EST 12.49 PORTA A12"
"EST 07.06","PCC","PORTA A12","","EST 07.06 PCC PORTA A12"
"EST 07.07","PCC","PORTA A12","","EST 07.07 PCC PORTA A12"
"EST 09.25","","PORTA A12","","EST 09.25 PORTA A12"
"EST 09.26","","PORTA A12","","EST 09.26 PORTA A12"
"EST 09.27","","PORTA A12","","EST 09.27 PORTA A12"
"EST 10.17","","PORTA A12","","EST 10.17 PORTA A12"
"EST 09.21","","PORTA A12","","EST 09.21 PORTA A12"
"EST 09.38","FICA NA POSICAO A12.27","PORTA A12","","EST 09.38 FICA NA POSICAO A12.27 PORTA A12"
"EST 12.52","","PORTA A13","","EST 12.52 PORTA A13"
"EST 12.53","","PORTA A13","","EST 12.53 PORTA A13"
"EST 12.20","LINHA CONE","PORTA A13","","EST 12.20 LINHA CONE PORTA A13"
"EST 09.29","","PORTA A13","","EST 09.29 PORTA A13"
"EST 09.28","","PORTA A13","","EST 09.28 PORTA A13"
"EST 09.31","","PORTA A13","","EST 09.31 PORTA A13"
"EST 09.32","","PORTA A13","","EST 09.32 PORTA A13"
"EST 09.37","","PORTA A13","","EST 09.37 PORTA A13"
"EST 09.34","","PORTA A13","","EST 09.34 PORTA A13"
"EST 06.38","","PORTA A13","","EST 06.38 PORTA A13"
"EST 06.39","","PORTA A13","","EST 06.39 PORTA A13"
"EST 06.40","","PORTA A13","","EST 06.40 PORTA A13"
"EST 10.27","","PORTA A13","","EST 10.27 PORTA A13"
"EST 10.26","","PORTA A13","","EST 10.26 PORTA A13"
"EST 10.28","","PORTA A13","","EST 10.28 PORTA A13"
"EST 12.80","","PORTA A16","","EST 12.80 PORTA A16"
"EST 12.81","","PORTA A16","","EST 12.81 PORTA A16"
"EST 12.82","","PORTA A16","","EST 12.82 PORTA A16"
"EST 12.83","","PORTA A16","","EST 12.83 PORTA A16"
"EST 12.84","","PORTA A16","","EST 12.84 PORTA A16"
"EST 12.85","","PORTA A16","","EST 12.85 PORTA A16"
"EST 12.86","","PORTA A16","","EST 12.86 PORTA A16"
"EST 12.87","","PORTA A16","","EST 12.87 PORTA A16"
"EST 12.88","","PORTA A16","","EST 12.88 PORTA A16"
"EST 12.89","","PORTA A16","","EST 12.89 PORTA A16"
"EST 12.90","","PORTA A16","","EST 12.90 PORTA A16"
"EST 12.91","","PORTA A16","","EST 12.91 PORTA A16"
"EST 12.95","SEM TAG INVERSOR","PORTA A16","","EST 12.95 SEM TAG INVERSOR PORTA A16"
"EST 13.00","","PORTA A16","","EST 13.00 PORTA A16"
"EXTRATORA PULMAO","BOM00.35","B16","","EXTRATORA PULMAO BOM00.35 B16"
"DPT00.01","DERRUBADOR DE PATAS NOVO - LIMPA LINHA","PORTA A16","CODIGO DUPLICADO","DPT00.01 DERRUBADOR DE PATAS NOVO - LIMPA LINHA PORTA A16 CODIGO DUPLICADO"
"REFILETADORA FRINOX 01","","PORTA A18","","REFILETADORA FRINOX 01 PORTA A18"
"REFILETADORA FRINOX 02","","PORTA A18","","REFILETADORA FRINOX 02 PORTA A18"
"EST 13.01","","PORTA A18","","EST 13.01 PORTA A18"
"EST. ENTRADA","REFILETADORA 01","PORTA A18.01","CODIGO DUPLICADO","EST. ENTRADA REFILETADORA 01 PORTA A18.01 CODIGO DUPLICADO"
"EST. SAIDA","REFILETADORA 01","PORTA A18.2","CODIGO DUPLICADO","EST. SAIDA REFILETADORA 01 PORTA A18.2 CODIGO DUPLICADO"
"EST. SUPERIOR","REFILETADOTA 01","A18.03","CODIGO DUPLICADO","EST. SUPERIOR REFILETADOTA 01 A18.03 CODIGO DUPLICADO"
"FRESA","REFILETADORA 01","A18.04","CODIGO DUPLICADO","FRESA REFILETADORA 01 A18.04 CODIGO DUPLICADO"
"EST. ENTRADA","REFILETADORA 02","PORTA A18.05","CODIGO DUPLICADO","EST. ENTRADA REFILETADORA 02 PORTA A18.05 CODIGO DUPLICADO"
"EST. SAIDA","REFILETADORA 02","PORTA A18.6","CODIGO DUPLICADO","EST. SAIDA REFILETADORA 02 PORTA A18.6 CODIGO DUPLICADO"
"EST. SUPERIOR","REFILETADOTA 02","A18.07","CODIGO DUPLICADO","EST. SUPERIOR REFILETADOTA 02 A18.07 CODIGO DUPLICADO"
